chain_number,chain_pos,expression,log_posterior
0,0,"['Norms', ['Pro', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'any'], ['Zone', '2']], ['Per', ['Action', 'putdown'], ['Colour', 'r'], ['Shape', 'any'], ['PerZone', '1']]]",-18862.095952127733
0,1,"['Norms', ['Pro', ['Action', 'putdown'], ['Colour', 'g'], ['Shape', 'triangle'], ['Zone', '2']], ['Per', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'any'], ['PerZone', 'any']]]",-13741.494622661046
0,2,"['Norms', ['Pro', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'triangle'], ['Zone', '2']], ['Per', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'any'], ['PerZone', 'any']]]",-13740.396010372377
0,3,"['Norms', ['Pro', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'triangle'], ['Zone', '2']], ['Per', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'any'], ['PerZone', 'any']]]",-13740.396010372377
0,4,"['Norms', ['Pro', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'triangle'], ['Zone', '2']], ['Per', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'any'], ['PerZone', 'any']]]",-13740.396010372377
0,5,"['Norms', ['Pro', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'triangle'], ['Zone', '2']], ['Per', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'any'], ['PerZone', 'any']]]",-13740.396010372377
0,6,"['Norms', ['Pro', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'triangle'], ['Zone', '2']], ['Per', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'any'], ['PerZone', 'any']]]",-13740.396010372377
0,7,"['Norms', ['Pro', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'triangle'], ['Zone', '2']], ['Per', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'any'], ['PerZone', 'any']]]",-13740.396010372377
0,8,"['Norms', ['Pro', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'triangle'], ['Zone', '2']], ['Per', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'any'], ['PerZone', 'any']]]",-13740.396010372377
0,9,"['Norms', ['Pro', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'triangle'], ['Zone', '2']], ['Per', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'any'], ['PerZone', 'any']]]",-13740.396010372377
0,10,"['Norms', ['Pro', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'triangle'], ['Zone', '2']], ['Per', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'any'], ['PerZone', 'any']]]",-13740.396010372377
0,11,"['Norms', ['Pro', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'triangle'], ['Zone', '2']], ['Per', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'any'], ['PerZone', '2']]]",-13741.494622661046
0,12,"['Norms', ['Pro', ['Action', 'putdown'], ['Colour', 'r'], ['Shape', 'triangle'], ['Zone', '2']], ['Per', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'any'], ['PerZone', '2']]]",-13742.593234949714
0,13,"['Norms', ['Pro', ['Action', 'putdown'], ['Colour', 'r'], ['Shape', 'triangle'], ['Zone', '3']], ['Per', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'any'], ['PerZone', '2']]]",-13742.593234949714
0,14,"['Norms', ['Pro', ['Action', 'putdown'], ['Colour', 'r'], ['Shape', 'triangle'], ['Zone', '3']], ['Per', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'any'], ['PerZone', '2']]]",-13742.593234949714
0,15,"['Norms', ['Pro', ['Action', 'putdown'], ['Colour', 'r'], ['Shape', 'triangle'], ['Zone', '1']], ['Per', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'any'], ['PerZone', '2']]]",-13742.593234949714
0,16,"['Norms', ['Pro', ['Action', 'putdown'], ['Colour', 'r'], ['Shape', 'triangle'], ['Zone', '1']], ['Per', ['Action', 'putdown'], ['Colour', 'g'], ['Shape', 'square'], ['PerZone', '2']]]",-13744.79045952705
0,17,"['No-norm', 'true']",-13733.346755531122
0,18,"['No-norm', 'true']",-13733.346755531122
0,19,"['No-norm', 'true']",-13733.346755531122
0,20,"['No-norm', 'true']",-13733.346755531122
0,21,"['No-norm', 'true']",-13733.346755531122
0,22,"['Norm', ['Obl', ['Moved', ['Colour', 'any'], ['Shape', 'any'], ['Zone', '3'], ['Moved', ['Colour', 'r'], ['Shape', 'any'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'triangle']]]], ['Zone', '2']]]",-13592.544771527248
