,trial,true_norm_rank_wrt_posterior,best_equiv_norm_rank_wrt_posterior,min_true_or_equiv_rank_wi_posterior
,count,mean,mean,mean
w_nc,,,,
0.0,3,1.0,1.0,1.0
0.05,3,1.0,1.0,1.0
0.1,3,1.0,1.0,1.0
0.15,3,1.0,1.0,1.0
0.2,3,1.0,1.0,1.0
0.25,3,9.0,9.0,9.0
0.3,3,1.5,46.333333333333336,46.333333333333336
0.35,3,3.0,3.0,3.0
0.4,3,1.3333333333333333,1.3333333333333333,1.3333333333333333
0.45,3,14.666666666666666,14.666666666666666,14.666666666666666
0.5,3,28.5,39.666666666666664,39.666666666666664
0.55,3,26.0,26.0,26.0
